,kT,norm (bb_1),PhoIndex,norm (po_2),nH
47,0.7349785124750373,0.1967438311921334,2.138817242731688,0.00029622751208708707,0.13766338737417522
48,0.72592834592606,0.19671278820939758,1.9736619015114223,0.0002670878256036045,0.10215430086351333
49,0.7437248871157204,0.1887862242309251,2.011625764524252,0.00027289260050323584,0.11208536329456528
50,0.7452151972968466,0.177697706472894,2.0131833254444245,0.00027848618153399746,0.11296911223970038
51,0.7455165588639634,0.17484017948301028,2.007770199352974,0.0002769440875561015,0.11475647579570723
52,0.7599545128622813,0.18385091309134693,2.072011233160369,0.0002742791552788398,0.1152787440855832
53,0.7531579749916733,0.19001533254600927,2.0375434844968106,0.0002727774430248061,0.11383906188024961
54,0.7529020906043196,0.19270705313944025,2.067425382998313,0.00027179101347426176,0.1093530602702107
55,0.7498230732160076,0.17727022037634982,2.0573513995624544,0.0002924102961006608,0.12595397331850114
56,0.7489555890944699,0.17676466913705272,2.0871518174248718,0.00028937900158031464,0.12688148493137086
57,0.7638052812977115,0.17133074909239532,2.0864574456992595,0.00028829250028087873,0.12341547523966068
58,0.7364890707937575,0.19131410264859913,2.0351146694268447,0.0002751923855317147,0.1178948392519874
59,0.7625785087561988,0.16064294135347057,2.0649338567532824,0.0002901434024157633,0.12620861711723452
60,0.7502922775398974,0.17485034333330957,2.052405546019754,0.0002904917149998492,0.12032118786678432
61,0.709850089724018,0.21180627128126625,1.94335026078619,0.0002604070716813362,0.097213899358165
62,0.7132151626173002,0.201607280018859,1.9133770768848652,0.0002666307416693144,0.09572997807120973
63,0.7127940368953712,0.21635375049686836,1.9235535065720744,0.0002596040897639739,0.0967872963030529
64,0.7243654333864753,0.1974543562108585,1.9544872373571633,0.00025881797428226906,0.09635380490958662
65,0.7545094022203825,0.1897818825663674,2.0092073601048837,0.0002572586786592161,0.10411258460060523
66,0.7375773877132358,0.1768881528917076,2.0908833661523865,0.00030238395583250373,0.14143143055640087
67,0.741568308762959,0.1795530312914115,2.0868627928450385,0.00030307239182457104,0.139983943669396
68,0.7432912194230488,0.17532001343394626,2.107593709680769,0.0003071119740490729,0.13466317320482551
69,0.7642885065641902,0.177267715462964,2.126865501765827,0.00028169910771799685,0.1227021364791732
70,0.7685282846901004,0.17421329251596407,2.081254390138247,0.00028037306412757054,0.12590096545244203
71,0.7683900802381547,0.16340303644982224,2.0534196226974273,0.00028567548618511814,0.12104812023228127
72,0.7644452369477566,0.1703517019912874,2.093782171267938,0.00028271360858398207,0.11939081781534518
73,0.7299024305320578,0.2128485401408576,2.093899565518858,0.0002792036477438701,0.12162920571428995
74,0.7372623650827577,0.20666580141691768,2.081032633907453,0.0002738816179220559,0.12461850580189153
75,0.7592448967897294,0.1793325934769246,2.1292298995924095,0.00028797827980849504,0.1321080200375411
76,0.7086424460076888,0.2242002431707738,2.0266972308019424,0.00027137718347068163,0.11887817063607059
77,0.8030749712272321,0.15051706598136286,2.0997830542003197,0.0002926573618857779,0.12197422215521866
78,0.7999649091787178,0.1466030203765758,2.107112717619601,0.0002909306801397905,0.12348347137748464
79,0.8059704237453356,0.14549241426303847,2.109680473118244,0.00029119246033229617,0.1301798629637256
80,0.7898206887089623,0.1526596118188714,2.135997702425564,0.00029627361577022767,0.13532116058699448
81,0.7903321252549205,0.14874330703713745,2.1294800954581703,0.0003052020651779621,0.14099654614947915
82,0.7840182762930412,0.1481477005416744,2.164225635038785,0.0003114073373936367,0.14371326282564137
83,0.7534883954308835,0.19165056425005542,2.06485841699162,0.00026533306594357816,0.11451933881897802
84,0.7542367012723419,0.1786507826090524,1.9792334168172654,0.00026942053237835443,0.1062662618078158
85,0.7539011283360135,0.1782528437153306,1.9862007068546945,0.00026853866101151464,0.10612833087812244
86,0.7329276197631008,0.19141632853177926,2.0100370462839487,0.0002763755935674525,0.10989194881360408
87,0.7449422484384269,0.1737513116876452,2.075350585430916,0.0002964746334104577,0.1251217865175143
88,0.7538616604564942,0.17582976528886415,2.080603108168123,0.00028983289541017305,0.1293523264181509
89,0.7573617760928715,0.18080268065181623,2.082143763517684,0.0002911154967533473,0.1290566361351454
90,0.7503810880197536,0.17764003683914653,2.040243089911073,0.00027604551042801213,0.11257376872987031
91,0.7455236911729034,0.1743417970043453,2.047956723879294,0.0002747963678283222,0.11149603950255514
92,0.7304689131759088,0.21049507740697623,2.007353139031445,0.0002671672313585656,0.10285762939635834
93,0.7214367818394973,0.21697685910528755,2.062319754115196,0.00027884193897307203,0.11651418793813918
94,0.7888989833445449,0.1482103026983613,2.083738320152813,0.0002948086286480133,0.12678739492166044
95,0.7183515812962826,0.2177396551857273,2.082549843876835,0.00027457920353831603,0.12024586300532793
96,0.7721131366317703,0.1554459771535126,2.0634090778650025,0.00028393260323673826,0.119130903675072
